Release_Date,Title
2018-06-14,Incredibles 2
2018-03-28,Ready Player One
2022-04-07,Fantastic Beasts The Secrets of Dumbledore
2021-12-09,Snoopy Presents For Auld Lang Syne
2000-07-07,Scary Movie
2021-09-29,No One Gets Out Alive
2014-11-05,Interstellar
2017-02-08,The Lego Batman Movie
2019-05-03,Pokémon Detective Pikachu
2021-09-10,Kate
2005-12-07,"The Chronicles of Narnia The Lion
1998-07-28,The Parent Trap
1991-10-22,Beauty and the Beast
2019-04-18,The Pilgrim's Progress
2013-10-30,Thor The Dark World
1997-03-26,Dragon Ball GT A Hero's Legacy
2007-07-25,The Simpsons Movie
2019-05-15,John Wick Chapter 3 - Parabellum
2017-02-28,Logan
2014-06-25,Transformers Age of Extinction
2015-06-09,Inside Out
2020-01-15,Bad Boys for Life
2021-04-08,Voyagers
2015-06-23,Terminator Genisys
2002-12-18,The Lord of the Rings The Two Towers
2019-05-30,Parasite
2021-09-22,The Many Saints of Newark
2016-06-15,Central Intelligence
2009-05-28,Up
2009-10-15,Law Abiding Citizen
2010-08-03,The Expendables
2021-07-08,Fear Street 1978
2020-02-05,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)
2021-12-06,David and the Elves
2010-07-03,Predators
2021-02-19,Body Brokers
2020-10-25,Skylines
2022-03-03,Fresh
2016-06-24,Porn to Be Free
2020-08-31,Solitary
2021-05-12,Spiral From the Book of Saw
2017-09-20,Kingsman The Golden Circle
2021-04-30,22 vs Earth
2015-04-01,Furious 7
2017-04-19,Guardians of the Galaxy Vol 2
2010-06-16,Toy Story 3
2021-01-26,Caged
2020-09-03,Honest Thief
2011-03-08,Battle Los Angeles
2008-07-19,Ponyo
2001-07-20,Spirited Away
2017-03-16,Beauty and the Beast
2020-09-03,Night in Paradise
1991-07-20,Dragon Ball Z Cooler's Revenge
2019-03-15,No Manches Frida 2
2021-02-03,Please Enlighten Me
1937-12-21,Snow White and the Seven Dwarfs
2017-07-15,Pokémon the Movie I Choose You!
2019-03-06,Captain Marvel
2012-11-13,The Twilight Saga Breaking Dawn - Part 2
2019-10-16,Maleficent Mistress of Evil
2013-07-11,Grown Ups 2
2010-09-15,The Town
2016-02-11,Zootopia
2021-02-11,Extinct
2008-09-18,Zack and Miri Make a Porno
2021-06-18,Fatherhood
2021-04-23,Trigger Point
2013-12-11,The Hobbit The Desolation of Smaug
2012-06-27,Ice Age Continental Drift
2019-07-29,Aquaslash
2013-06-12,Man of Steel
2021-01-15,Outside the Wire
2006-10-06,The Texas Chainsaw Massacre The Beginning
2022-01-06,Munich The Edge of War
2007-05-17,Shrek the Third
2009-05-20,Terminator Salvation
2017-09-01,Call Me by Your Name
2020-12-25,We Can Be Heroes
2015-03-24,Southpaw
2014-11-22,Penguins of Madagascar
2019-07-25,Red Shoes and the Seven Dwarfs
2015-05-27,San Andreas
2012-03-07,John Carter
2002-05-24,Spirit Stallion of the Cimarron
2009-06-18,American Pie Presents The Book of Love
1990-06-07,Dragon Ball Z The Tree of Might
2021-08-11,The Kissing Booth 3
2021-03-18,The Courier
2020-08-22,Given
2011-11-16,The Twilight Saga Breaking Dawn - Part 1
2022-02-10,Into the Wind
2014-05-28,Maleficent
2011-02-10,Just Go with It
2004-06-23,White Chicks
2016-01-14,13 Hours The Secret Soldiers of Benghazi
2014-07-17,Sex Tape
2015-09-09,Maze Runner The Scorch Trials
2005-09-12,Corpse Bride
2020-03-27,Psycho-Pass 3 First Inspector
2021-01-29,Palmer
2021-01-29,Below Zero
2016-06-01,Me Before You
2021-08-04,Beckett
2021-07-26,"Batman The Long Halloween
2011-12-11,Ghost Rider Spirit of Vengeance
2019-03-29,Shazam!
2012-06-22,I Want You
2010-03-31,Clash of the Titans
2009-10-20,Wrong Turn 3 Left for Dead
2016-05-18,X-Men Apocalypse
2020-08-22,Tenet
2009-10-23,Cirque du Freak The Vampire's Assistant
2021-10-08,Grudge
2021-07-08,Next-Door Nightmare
2021-07-21,Trollhunters Rise of the Titans
2006-03-29,Ice Age The Meltdown
1999-03-30,The Matrix
2018-08-09,The Meg
1993-07-10,Dragon Ball Z Bojack Unbound
2018-11-20,Ralph Breaks the Internet
2006-06-08,Cars
2016-12-10,Hidden Figures
2012-06-29,Ted
2021-07-02,The 8th Night
2010-05-19,Prince of Persia The Sands of Time
2015-11-25,Creed
2011-07-22,Captain America The First Avenger
2012-06-21,Brave
2005-05-25,Madagascar
2021-02-24,Chaos Walking
1992-07-11,Dragon Ball Z Super Android 13!
2020-11-27,Life in a Year
2012-01-01,Wreck-It Ralph
2016-04-23,Yu-Gi-Oh! The Dark Side of Dimensions
2021-02-25,Come Play With Me
2010-07-31,Naruto Shippuden the Movie The Lost Tower
2014-06-26,Dawn of the Planet of the Apes
2014-03-12,Need for Speed
2008-07-21,Batman Tech
2009-07-01,Public Enemies
2011-10-27,In Time
2021-06-24,Rock Dog 2 Rock Around the Park
2018-06-28,Hotel Transylvania 3 Summer Vacation
1992-03-07,Dragon Ball Z The Return of Cooler
2021-10-22,Koati
2016-09-02,No Manches Frida
2018-09-05,The Nun
2017-03-03,The Shack
2021-10-23,A Forbidden Orange
